question,answer
"What is the capital of India?","the capital of India is New Delhi"
"How many days are there in a week?","There are 7 days in a week"
"Which planet is known as the Red Planet?","Mars is known as the Red Planet"
"What is the largest mammal in the world?","The blue whale is the largest mammal"
"How many letters are in the English alphabet?","The English alphabet has 26 letters"
"Which gas do plants release during photosynthesis?","Plants release oxygen during photosynthesis"
"Who invented the light bulb?","Thomas Edison invented the light bulb"
"What is 5 × 5?","25 is the answer of 5 × 5"
"Which is the fastest land animal?","The cheetah is the fastest land animal"
"What do bees collect from flowers?","Bees collect nectar from flowers"
